结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首屏打开时间,下载时间,页面加载时间,总时间,吞吐率,综合质量,解析成功率,连接成功率,首页加载成功率,加载比例,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项,元素数量
2013-05-19 19:00:00.219834,2003,123.89.176.38,NULL,qiyi.com,qiyi.com,广东铁通TOPn网站,0.50,42.85,43.14,349.16,8156.05,11162.46,12449.44,128.48,67.6,100.00,100.00,100.00,100.00,100.00,202.108.14.16,中国,北京, 联通,1047.9,2477.5,301,50,153
2013-05-19 19:00:00.945339,2004,222.50.124.58,NULL,kuaipan.cn,kuaipan.cn,广东铁通TOPn网站,0.62,57.11,56.89,238.54,4469.24,4988.22,4988.22,53.82,59.5,100.00,100.00,100.00,100.00,100.00,114.112.66.22,中国,江苏, 移动,240.5,237.7,301,9,9
2013-05-19 19:00:01.483529,2016,222.50.124.106,NULL,cfi.cn,cfi.cn,NULL,0.52,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,113.107.189.188,中国,广东, 电信,NULL,NULL,NULL,1,1
2013-05-19 19:00:01.757278,2004,222.50.124.58,NULL,qplus.com,qplus.com,广东铁通TOPn网站,0.47,39.94,40.84,105.38,481.70,614.29,711.43,239.28,89.5,100.00,100.00,100.00,100.00,100.00,112.90.143.118,中国,广东, 联通,115.3,112.6,302,10,10
2013-05-19 19:00:01.804957,2019,222.50.124.118,NULL,pcgames.com.cn,pcgames.com.cn,NULL,0.30,38.90,173.26,459.71,867.96,10045.63,10207.93,533.22,84.4,100.00,97.44,100.00,97.44,100.00,219.136.245.40,中国,广东, 电信,462.8,446.0,301,39,39
2013-05-19 19:00:02.104029,1010,222.50.124.6,NULL,hao123.com,hao123.com,广东铁通TOPn网站,0.49,54.35,56.77,304.10,901.33,1262.96,1262.96,158.94,78.2,100.00,100.00,100.00,100.00,100.00,123.125.114.224,中国,北京, 其它运营商,143.3,140.2,302,9,9
2013-05-19 19:00:02.614310,1001,222.50.124.2,NULL,yahoo.com,yahoo.com,NULL,0.45,235.29,235.49,1862.20,3621.46,4818.30,4991.76,62.24,48.2,100.00,100.00,100.00,100.00,100.00,206.190.36.45,美国,NULL, 其它运营商,225.4,214.1,301,23,23
2013-05-19 19:00:03.226590,2019,222.50.124.118,NULL,5d6d.com,5d6d.com,NULL,0.45,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,124.238.249.158,中国,河北, 电信,NULL,NULL,NULL,1,1
2013-05-19 19:00:04.156494,1004,222.50.124.22,NULL,lvmama.com,lvmama.com,NULL,0.60,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,60.29.238.101,中国,天津, 联通,NULL,NULL,NULL,1,1
2013-05-19 19:00:04.160462,广东铁通6-gddx(bgp)联通出口,110.209.253.254,NULL,360buy.com,360buy.com,广东铁通TOPn网站,0.47,33.36,34.42,334.28,4449.61,6367.56,6995.28,56.14,60.9,100.00,100.00,100.00,100.00,100.00,58.83.158.48,中国,北京, 铁通,249.8,241.9,301,21,21
2013-05-19 19:00:04.469510,1001,222.50.124.2,NULL,太平洋电脑网,www.pconline.com.cn,网页类,0.22,6.10,15.34,60.39,4885.76,5023.33,5332.84,116.89,67.8,100.00,100.00,100.00,100.00,100.00,210.21.118.120,中国,广东, 联通,571.1,551.3,200,50,50
2013-05-19 19:00:05.170322,1002,222.50.124.38,NULL,doubleclick.net,doubleclick.net,广东铁通TOPn网站,1.47,263.89,264.54,529.90,264.54,529.90,529.90,1.33,48.4,100.00,50.00,100.00,50.00,0.00,70.32.146.212,美国,NULL, 其它运营商,0.4,0.2,301,2,2
2013-05-19 19:00:05.367021,2010,222.50.124.82,NULL,xtata.com,xtata.com,NULL,0.56,3000.22,321.50,3322.28,326.18,3329.39,3329.39,11.79,42.1,100.00,100.00,100.00,100.00,100.00,211.98.70.195,中国,湖南, 铁通,3.8,2.9,200,5,5
2013-05-19 19:00:05.777777,2011,222.50.124.86,NULL,苹果官网,www.apple.com,网页类,0.57,147.66,148.69,296.92,148.69,296.89,296.92,21.40,52.8,100.00,3.45,100.00,3.45,0.00,118.215.189.15,新加坡,NULL, 其它运营商,3.2,2.9,200,29,29
2013-05-19 19:00:06.085162,2004,222.50.124.58,NULL,10086.cn,10086.cn,NULL,0.40,46.77,49.61,96.78,149.42,291.39,291.39,39.73,63.0,100.00,100.00,100.00,100.00,100.00,218.206.191.72,中国,北京, 移动,5.9,4.9,200,3,3
2013-05-19 19:00:06.290958,1014,222.50.124.30,NULL,chinagames.net,chinagames.net,广东铁通TOPn网站,0.25,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,183.60.26.198,中国,广东, 电信,NULL,NULL,NULL,1,1
2013-05-19 19:00:06.296181,2008,222.50.124.74,NULL,cnstock.com,cnstock.com,NULL,0.43,100.88,101.33,491.16,7945.32,9299.14,10923.72,48.78,49.8,100.00,94.55,100.00,94.55,100.00,112.64.158.110,中国,上海, 联通,387.6,367.5,301,50,55
2013-05-19 19:00:06.398178,2005,222.50.124.62,NULL,太平洋电脑网,www.pconline.com.cn,网页类,0.46,3.21,11.80,44.38,3436.03,3492.27,3717.51,166.97,81.9,100.00,100.00,100.00,100.00,100.00,210.21.118.120,中国,广东, 联通,573.7,551.3,200,50,50
2013-05-19 19:00:06.558208,2017,222.50.124.110,NULL,kuwo.cn,kuwo.cn,NULL,0.24,37.47,57.80,171.32,3294.43,4189.13,4634.01,78.69,61.8,100.00,55.56,100.00,55.56,0.00,211.100.49.12,中国,北京, 电信,259.2,252.2,200,27,27
2013-05-19 19:00:06.709579,1009,222.50.124.50,NULL,onlylady.com,onlylady.com,NULL,0.48,43.83,45.31,1323.06,11076.36,10081.50,14099.39,93.14,58.0,100.00,100.00,100.00,100.00,100.00,118.67.113.98,中国,北京, 其它运营商,1031.7,2033.3,301,50,74
2013-05-19 19:00:06.897616,1014,222.50.124.30,NULL,pengyou.com,pengyou.com,广东铁通TOPn网站,0.47,38.44,42.03,350.03,409.24,726.80,726.80,71.74,68.6,100.00,100.00,100.00,100.00,100.00,112.64.234.211,中国,上海, 联通,29.4,26.3,302,9,9
2013-05-19 19:00:07.057705,2015,222.50.124.102,NULL,miibeian.gov.cn,miibeian.gov.cn,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-05-19 19:00:07.303350,1013,222.50.124.26,NULL,focus.cn,focus.cn,NULL,0.42,60.10,60.86,121.38,60.86,121.38,121.38,6.32,62.3,100.00,50.00,100.00,50.00,0.00,61.135.134.226,中国,北京, 联通,0.4,0.2,302,2,2
2013-05-19 19:00:07.616762,2006,222.50.124.66,NULL,100fenlm.cn,100fenlm.cn,NULL,0.26,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,183.61.81.110,中国,广东, 电信,NULL,NULL,NULL,1,1
2013-05-19 19:00:08.135775,1006,222.50.124.42,NULL,新浪,www.sina.com.cn,网页类,0.27,37.01,37.77,468.70,7462.51,8364.79,8591.49,39.03,51.0,100.00,100.00,100.00,100.00,100.00,211.98.132.66,中国,北京, 铁通,291.3,281.4,200,29,29
2013-05-19 19:00:08.265194,2015,222.50.124.102,NULL,1360.cn,1360.cn,广东铁通TOPn网站,0.61,32.54,31.97,131.25,65.14,131.25,131.25,19.01,64.0,100.00,66.67,100.00,66.67,0.00,58.68.151.179,中国,北京, 移动,1.2,0.7,302,3,3
2013-05-19 19:00:08.554446,1013,222.50.124.26,NULL,51.com,51.com,广东铁通TOPn网站,0.26,41.40,81.22,791.24,36102.52,37485.91,39078.25,19.63,35.0,100.00,100.00,100.00,100.00,0.00,61.130.108.152,中国,浙江, 电信,708.8,698.5,301,50,84
2013-05-19 19:00:08.666483,2002,123.89.176.30,NULL,88db.com,88db.com,NULL,0.25,6.76,10.20,95.23,756.79,833.39,849.13,251.82,91.2,100.00,83.33,100.00,83.33,0.00,210.184.167.35,中国,香港, 其它运营商,190.6,185.8,302,18,18
2013-05-19 19:00:08.786080,2016,222.50.124.106,NULL,pconline.com.cn,pconline.com.cn,NULL,0.42,39.11,173.27,301.27,3215.11,3509.47,3834.32,177.92,74.1,100.00,100.00,100.00,100.00,100.00,219.136.245.40,中国,广东, 电信,572.0,551.7,301,50,51
2013-05-19 19:00:08.916266,1003,222.50.124.18,NULL,kuaipan.cn,kuaipan.cn,广东铁通TOPn网站,0.44,51.96,53.20,218.36,1077.51,1559.36,1559.36,223.24,86.3,100.00,100.00,100.00,100.00,100.00,114.112.66.22,中国,江苏, 移动,240.5,237.7,301,9,9
2013-05-19 19:00:09.022610,1003,222.50.124.18,NULL,xtata.com,xtata.com,NULL,0.50,2999.91,273.22,3273.63,277.24,3279.51,3279.51,13.87,42.2,100.00,100.00,100.00,100.00,100.00,211.98.70.195,中国,湖南, 铁通,3.8,2.9,200,5,5
2013-05-19 19:00:09.071624,1005,222.50.124.34,NULL,01hr.com,01hr.com,NULL,0.22,1.22,123.13,634.01,6086.64,5839.67,6130.45,98.98,63.1,100.00,100.00,100.00,100.00,100.00,221.238.193.35,中国,天津, 电信,602.4,593.3,200,28,28
2013-05-19 19:00:09.351752,2006,222.50.124.66,NULL,cheshi.com.cn,cheshi.com.cn,NULL,0.60,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,118.67.112.149,中国,北京, 其它运营商,NULL,NULL,NULL,1,1
2013-05-19 19:00:09.539831,1004,222.50.124.22,NULL,qhimg.com,qhimg.com,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-05-19 19:00:09.540168,1010,222.50.124.6,NULL,sina.com.cn,sina.com.cn,NULL,0.54,45.54,686.12,4005.02,2947.28,6779.54,7064.92,99.01,54.8,100.00,100.00,100.00,100.00,100.00,202.108.33.60,中国,北京, 其它运营商,291.8,281.6,301,30,30
2013-05-19 19:00:09.792465,2016,222.50.124.106,NULL,01hr.com,01hr.com,NULL,0.51,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,221.238.193.42,中国,天津, 电信,NULL,NULL,NULL,1,1
2013-05-19 19:00:09.952042,1012,222.50.124.14,NULL,bing.com,bing.com,NULL,0.26,228.84,240.01,709.79,414.47,709.79,709.79,43.19,54.7,100.00,100.00,100.00,100.00,100.00,131.253.33.200,加拿大,NULL, 其它运营商,17.9,16.6,301,2,2
2013-05-19 19:00:10.585359,2017,222.50.124.110,NULL,zaobao.com,zaobao.com,NULL,0.61,38.77,40.77,85.80,1520.43,5567.93,5795.92,169.48,83.5,98.61,97.22,100.00,97.22,100.00,202.27.28.10,新西兰,NULL, 其它运营商,257.7,231.6,301,50,72
2013-05-19 19:00:11.196903,1008,222.50.124.46,NULL,bankcomm.com,bankcomm.com,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-05-19 19:00:11.406380,1014,222.50.124.30,NULL,made-in-china.com,made-in-china.com,NULL,0.45,36.31,40.23,456.96,2696.68,3351.09,3568.51,124.65,74.9,100.00,100.00,100.00,100.00,100.00,218.104.118.57,中国,江苏, 联通,336.1,329.8,302,23,23
2013-05-19 19:00:11.969310,2010,222.50.124.82,NULL,booksky.org,booksky.org,NULL,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-05-19 19:00:12.475528,1003,222.50.124.18,NULL,babytree.com,babytree.com,NULL,0.26,56.37,58.07,1240.28,12264.79,18160.07,19822.90,85.96,56.3,100.00,100.00,100.00,100.00,100.00,219.232.230.150,中国,北京, 其它运营商,1054.3,1070.0,301,50,132
2013-05-19 19:00:12.532251,2012,222.50.124.90,NULL,weather.com.cn,weather.com.cn,NULL,0.49,54.18,59.80,224.12,9894.53,22991.61,24184.28,59.94,52.8,100.00,96.70,100.00,96.70,100.00,61.4.185.35,中国,NULL, 其它运营商,593.1,566.6,200,50,91
2013-05-19 19:00:12.733857,2005,222.50.124.62,NULL,shm.com.cn,shm.com.cn,NULL,0.67,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,222.173.223.98,中国,山东, 电信,NULL,NULL,NULL,1,1
2013-05-19 19:00:12.897450,1003,222.50.124.18,NULL,qihoo.com,qihoo.com,NULL,0.26,40.42,42.40,123.42,217.90,354.28,354.28,55.35,69.0,100.00,100.00,100.00,100.00,100.00,61.55.181.124,中国,河北, 联通,12.1,10.8,200,3,3
2013-05-19 19:00:12.897901,1011,222.50.124.10,NULL,miercn.com,miercn.com,广东铁通TOPn网站,0.57,87.08,159.34,532.88,17057.14,23025.51,25331.09,60.56,39.9,100.00,100.00,100.00,100.00,100.00,59.57.13.196,中国,福建, 电信,1033.0,1936.0,301,50,111
2013-05-19 19:00:12.945806,2016,222.50.124.106,NULL,meituan.com,meituan.com,NULL,0.83,33.76,34.19,274.95,1073.78,1484.13,1484.13,136.92,78.9,100.00,100.00,100.00,100.00,100.00,211.151.229.80,中国,北京, 联通,147.0,143.7,301,9,9
2013-05-19 19:00:13.227177,1013,222.50.124.26,NULL,lady8844.com,lady8844.com,NULL,0.26,49.01,183.88,1698.44,27413.59,31024.05,33552.53,38.02,29.6,100.00,100.00,100.00,100.00,0.00,121.9.214.196,中国,广东, 电信,1042.2,2125.4,301,50,142
2013-05-19 19:00:13.303651,2002,123.89.176.30,NULL,189mv.cn,189mv.cn,广东铁通TOPn网站,0.48,41.52,188.36,490.51,18921.58,20257.82,21423.01,53.52,39.6,100.00,100.00,100.00,100.00,100.00,183.63.133.186,中国,广东, 电信,1012.8,8443.7,200,50,58
2013-05-19 19:00:13.581236,2010,222.50.124.82,NULL,shopex.cn,shopex.cn,NULL,0.83,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,101.226.202.41,中国,上海, 电信,NULL,NULL,NULL,1,1
2013-05-19 19:00:13.716715,2003,123.89.176.38,NULL,ppstream.com,ppstream.com,NULL,0.40,28.17,28.62,57.19,9469.83,33308.29,36868.45,105.07,61.0,100.00,98.70,100.00,98.70,0.00,211.151.142.154,中国,北京, 联通,995.0,960.9,200,50,77
2013-05-19 19:00:13.852430,2014,222.50.124.98,NULL,ganji.com,ganji.com,NULL,0.56,31.54,34.28,282.93,421.45,612.73,612.73,81.65,74.8,100.00,100.00,100.00,100.00,100.00,58.83.177.133,中国,北京, 铁通,34.4,32.9,301,6,6
2013-05-19 19:00:14.958484,2013,222.50.124.94,NULL,dianping.com,dianping.com,NULL,1.15,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,180.153.132.38,中国,上海, 电信,NULL,NULL,NULL,1,1
2013-05-19 19:00:15.042405,2003,123.89.176.38,NULL,sf-express.com,sf-express.com,NULL,0.48,21.53,47.37,203.88,2115.30,2883.24,3254.00,335.73,87.9,100.00,100.00,100.00,100.00,100.00,219.134.187.245,中国,广东, 电信,710.2,693.1,302,50,53
2013-05-19 19:00:15.150755,2003,123.89.176.38,NULL,ctrip.com,ctrip.com,NULL,0.48,51.73,55.20,332.16,1031.49,1436.84,1436.84,104.52,71.9,100.00,100.00,100.00,100.00,100.00,210.13.114.3,中国,上海, 联通,107.8,104.4,301,9,9
2013-05-19 19:00:15.924040,广东铁通6-gddx(bgp)联通出口,110.209.253.254,NULL,csdn.net,csdn.net,NULL,0.58,35.63,35.66,265.78,4023.36,5217.99,5523.89,251.61,83.1,100.00,100.00,100.00,100.00,100.00,117.79.93.222,中国,北京, 其它运营商,1012.3,1083.6,302,42,42
2013-05-19 19:00:15.968282,2002,123.89.176.30,NULL,kandian.com,kandian.com,广东铁通TOPn网站,0.47,58.26,58.65,418.85,7201.83,9162.98,10134.30,83.88,61.8,100.00,100.00,100.00,100.00,100.00,123.126.53.55,中国,北京, 联通,604.1,579.9,302,50,74
2013-05-19 19:00:16.237529,广东铁通6-gddx(bgp)联通出口,110.209.253.254,NULL,ngacn.cc,ngacn.cc,NULL,0.24,257.37,267.83,1700.13,26480.99,34417.31,39168.58,39.50,23.6,100.00,100.00,100.00,100.00,0.00,123.134.67.166,中国,山东, 联通,1045.9,1565.0,301,50,126
2013-05-19 19:00:16.469261,2012,222.50.124.90,NULL,53kf.com,53kf.com,广东铁通TOPn网站,0.58,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,122.227.58.188,中国,浙江, 电信,NULL,NULL,NULL,1,1
2013-05-19 19:00:16.674203,2004,222.50.124.58,NULL,google.cn,google.cn,NULL,0.50,69.52,121.33,365.31,436.53,638.81,638.81,31.22,57.1,100.00,100.00,100.00,100.00,100.00,203.208.46.177,中国,北京, 其它运营商,13.6,12.7,301,3,3
2013-05-19 19:00:17.072342,2011,222.50.124.86,NULL,go9go.cn,go9go.cn,NULL,0.46,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,112.84.190.146,中国,江苏, 联通,NULL,0.0,500,1,1
2013-05-19 19:00:17.072740,2010,222.50.124.82,NULL,weather.com.cn,weather.com.cn,广东铁通TOPn网站,0.18,51.57,58.97,216.57,8747.08,12305.22,13432.00,67.86,54.3,100.00,97.80,100.00,97.80,100.00,61.4.185.35,中国,NULL, 其它运营商,593.6,566.6,200,50,91
2013-05-19 19:00:17.538506,1003,222.50.124.18,NULL,funshion.net,funshion.net,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-05-19 19:00:17.690487,2013,222.50.124.94,NULL,163.com,163.com,广东铁通TOPn网站,0.25,32.74,33.56,11066.49,10992.58,11066.49,11066.49,7.67,46.7,100.00,100.00,100.00,100.00,100.00,123.58.180.7,中国,浙江, 移动,84.4,84.2,301,2,2
2013-05-19 19:00:17.692249,2017,222.50.124.110,NULL,qunar.com,qunar.com,NULL,0.47,37.05,37.59,271.82,1421.68,1775.18,1910.83,110.59,71.7,100.00,57.89,100.00,57.89,0.00,59.151.61.62,中国,北京, 其它运营商,157.2,153.1,301,19,19
